2017-11-10	577703	46198997	59114075	21127042
2017-11-11	517600	46375012	59210278	21161890
2017-11-12	476883	46396673	59255046	21176978
2017-11-13	500249	46357154	59285310	21188584
2017-11-14	567294	46386313	59410347	21226460
2017-11-15	552953	46393184	59533489	21265549
2017-11-16	514107	46376524	59616975	21293015
2017-11-17	542111	46340963	59677035	21305364
2017-11-18	534399	46363439	59769077	21338111
2017-11-19	416830	46116805	59803451	21349490
2017-11-20	516077	46068381	59843881	21359139
2017-11-21	617160	46129205	59941972	21380652
2017-11-22	534465	46111013	60040755	21408320
2017-11-23	591706	46100276	60110090	21434936
2017-11-24	565888	46015840	60208883	21464245
2017-11-25	554368	45885851	60318020	21496426
2017-11-26	466734	45705386	60361460	21509189
2017-11-27	472437	45721980	60395828	21520641
2017-11-28	573430	45939809	60509939	21561225
2017-11-29	479423	46066833	60620003	21599886
2017-11-30	497780	46163152	60752292	21641515
2017-12-01	526958	46237277	60898317	21684028
2017-12-02	540322	46440756	61021191	21718952
2017-12-03	438610	46515501	61134782	21740657
2017-12-04	557735	46630522	61170382	21750824
2017-12-05	507515	46766499	61280947	21785299
2017-12-06	539585	46894938	61394791	21825788
2017-12-07	600754	46974246	61521572	21866584
2017-12-08	532515	47088620	61600022	21890009
2017-12-09	571954	47152280	61685564	21916494
2017-12-10	506176	47113320	61723579	21926529
2017-12-11	512497	47103052	61731871	21932285
2017-12-12	539060	47151986	61815481	21955922
2017-12-13	596834	47260115	61927689	21993884
2017-12-14	647041	47421331	62043515	22031876
2017-12-15	629242	47558789	62137520	22059703
2017-12-16	605585	47736971	62228477	22089298
2017-12-17	666717	47881350	62257624	22099068
2017-12-18	636526	48011104	62266776	22105271
2017-12-19	715684	48284765	62349592	22130866
2017-12-20	628670	48399767	62442608	22159661
2017-12-21	665731	48543667	62566804	22200335
2017-12-22	582614	48606452	62653287	22228176
2017-12-23	596861	48708098	62697819	22239067
2017-12-24	685883	48893683	62741659	22249968
2017-12-25	809129	49129355	62734473	22247502
2017-12-26	733951	49417639	62738726	22248653
2017-12-27	531779	49532247	62776622	22261863
2017-12-28	430689	49511222	62833638	22282767
2017-12-29	409211	49508110	62903213	22308386
2017-12-30	444910	49547198	62970777	22332188
2017-12-31	437832	49513537	62997198	22341298
2018-01-01	446694	49445393	62997821	22343121
2018-01-02	449265	49458479	63016058	22348900
2018-01-03	504084	49447176	63080310	22373649
2018-01-04	476816	49478096	63164946	22403727
2018-01-05	502866	49522261	63253738	22435376
2018-01-06	555456	49567947	63336837	22460652
2018-01-07	463911	49556201	63388712	22475818
2018-01-08	600966	49617641	63422359	22488265
2018-01-09	648239	49645118	63499377	22520162
2018-01-10	594168	49680566	63588243	22551010
2018-01-11	385811	49589596	63678296	22581584
2018-01-12	699854	49747263	63761493	22611625
2018-01-13	586429	49766126	63828236	22640424
2018-01-14	389003	49587056	63861077	22654454
2018-01-15	550014	49553291	63876957	22666088
2018-01-16	771404	49714798	63955476	22697624
2018-01-17	647537	49640480	63996216	22708886
2018-01-18	577302	49578689	64084374	22742330
2018-01-19	562070	49545664	64181388	22784773
2018-01-20	609539	49585975	64258337	22817867
2018-01-21	545356	49540979	64296487	22836960
2018-01-22	598128	49452056	64284215	22845426
2018-01-23	624044	49307756	64297343	22864453
2018-01-24	616945	49113031	64384178	22903670
2018-01-25	594494	49009540	64466350	22932604
2018-01-26	496250	49007498	64552202	22965149
2018-01-27	532087	49159099	64660020	23002422
2018-01-28	466032	49225659	64743487	23021461
2018-01-29	542328	49299742	64783631	23035325
2018-01-30	625906	49453405	64928834	23088127
2018-01-31	625659	49564223	65086382	23147719
2018-02-01	600479	49758919	65198488	23198603
2018-02-02	654607	49918642	65307676	23250923
2018-02-03	589575	50129461	65497355	23326024
2018-02-04	525315	50188925	65574909	23351929
2018-02-05	621525	50202429	65612655	23366697
2018-02-06	605989	50345055	65735962	23409169
2018-02-07	647510	50432310	65901021	23472025
2018-02-08	631421	50486025	66035592	23524201
2018-02-09	604864	50573299	66187392	23570032
2018-02-10	474347	50570762	66301636	23612407
2018-02-11	457588	50528103	66356549	23634975
2018-02-12	572600	50533409	66367633	23645538
2018-02-13	634704	50615166	66455256	23678460
2018-02-14	770362	50871423	66610501	23730143
2018-02-15	731457	51060771	66806000	23786889
2018-02-16	667714	51194087	67035038	23835719
2018-02-17	694938	51472194	67149907	23877072
2018-02-18	635112	51591229	67197610	23897256
2018-02-19	606615	51580685	67219767	23910556
2018-02-20	671789	51718013	67327767	23951412
2018-02-21	685342	51811654	67437851	23992085
2018-02-22	706664	51952430	67550562	24033789
2018-02-23	658994	52057059	67676594	24079479
2018-02-24	607607	52197934	67814722	24115600
2018-02-25	615377	52340876	67885523	24136453
2018-02-26	742470	52509921	67930127	24149464
2018-02-27	807184	52837690	68056411	24189196
2018-02-28	843650	53183563	68190856	24235488
2018-03-01	744651	53401262	68331621	24294170
2018-03-02	534806	53395756	68460435	24340090
2018-03-03	508744	53465896	68607997	24381695
2018-03-04	518509	53426675	68658687	24402269
2018-03-05	509869	53429027	68689909	24416811
2018-03-06	629179	53518624	68806246	24461463
2018-03-07	669714	53587586	68945722	24511950
2018-03-08	578273	53633346	69085911	24562822
2018-03-09	675781	53737179	69224170	24604919
2018-03-10	658557	53889564	69354414	24659721
